"User-ID;""Location"";""Age"""
"415;""gilbert", arizona," usa"";NULL"
"419;""grove city", pennsylvania," usa"";""14"""
"423;""kenilworth", england," united kingdom"";NULL"
"427;""townsville", queensland," australia"";NULL"
"431;""ridgway", pennsylvania," usa"";""40"""
"435;""naples", florida," usa"";NULL"
"439;""tiburon", california," usa"";NULL"
"443;""lawrenceburg", indiana," usa"";""47"""
"447;""medford", new jersey," usa"";NULL"
"451;""bismarck", north dakota," usa"";""33"""
"455;""calgary", alberta," canada"";""54"""
"459;""east moline", illinois," usa"";""37"""
"463;""rouse hill", new south wales," australia"";""20"""
"467;""livingston", new jersey," usa"";NULL"
"471;""melbourne", victoria," australia"";""31"""
"475;""vancouver", british columbia," canada"";""34"""
"479;""iowa city", iowa," usa"";NULL"
"483;""shelton", washington," usa"";""72"""
"487;""houston", texas," usa"";NULL"
"491;""windsor", ontario," canada"";""26"""
"495;""nashville", tennessee," usa"";NULL"
"499;""la verne", california," usa"";""62"""
"503;""el centro", california," usa"";""40"""
"507;""dumas", arkansas," usa"";NULL"
"511;""berkeley", california," usa"";NULL"
"515;""bourbonnais", illinois," usa"";""24"""
"519;""sheffield", england," united kingdom"";""23"""
"523;""bozeman", montana," usa"";""19"""
"527;""mainz", rheinland-pfalz," germany"";""22"""
"531;""st. augustine", florida," usa"";""56"""
"535;""sfgsdfg", calabria," italy"";NULL"
"540;""watertown", south dakota," usa"";""67"""
"544;""england", england," united kingdom"";NULL"
"548;""lynn haven", florida," usa"";NULL"
"552;""united states", california," usa"";NULL"
"556;""port charlotte", florida," usa"";""31"""
"561;""shrewsbury", pennsylvania," usa"";""35"""
"565;""franklin", tennessee," usa"";""48"""
"569;""lahore", punjab," pakistan"";""28"""
"573;""cairo", connecticut," egypt"";""31"""
"577;""andimeshk", khozestan," iran"";NULL"
"581;""zaragoza", aragón," spain"";""45"""
"585;""milano", lombardia," italy"";NULL"
"589;""gassino torinese", piemonte," italy"";NULL"
"593;""port hawkesbury", nova scotia," canada"";""28"""
"597;""astoria", new york," usa"";""43"""
"601;""grande prairie", alberta," canada"";NULL"
"605;""manheim", pennsylvania," usa"";NULL"
"609;""madrid", madrid," spain"";""34"""
"613;""ankara", n/a," turkey"";""1"""
"617;""porto", n/a," portugal"";""54"""
"621;""segovia", n/a," spain"";""48"""
"625;""marseille", provence," france"";""41"""
"629;""kiel", schleswig-holstein," germany"";""44"""
"633;""köln", nordrhein-westfalen," germany"";NULL"
"637;""singapore", singapore," singapore"";""20"""
"641;""portland", oregon," usa"";NULL"
"645;""ottawa", ontario," canada"";NULL"
"649;""san diego", california," usa"";NULL"
"653;""bristol", wales," united kingdom"";NULL"
"657;""chattanooga", tennessee," usa"";NULL"
"661;""zweibrücken", rheinland-pfalz," germany"";""22"""
"665;""linköping", östergötland," sweden"";NULL"
"669;""kannur", kerala," india"";""24"""
"673;""varanasi", uttar pradesh," india"";""23"""
"677;""baton rouge", louisiana," usa"";""27"""
"681;""banda aceh", nad," indonesia"";""20"""
"685;""stevens point", wisconsin," usa"";""21"""
"689;""paris", n/a," france"";""22"""
"693;""alexandria", virginia," usa"";""58"""
"697;""montreal", quebec," canada"";NULL"
"701;""mountain view", california," usa"";""31"""
"705;""asti", piemonte," italy"";NULL"
"709;""roanoke", virginia," usa"";""14"""
"713;""abingdon", n/a," united kingdom"";""49"""
"717;""spring hill", florida," usa"";NULL"
"721;""atascadero", california," usa"";NULL"
"725;""aveiro", aveiro," portugal"";""24"""
"729;""st.adolphe", manitoba," canada"";NULL"
"733;""timaru", south canterbury," new zealand"";""53"""
"737;""albuquerque", new mexico," usa"";NULL"
"741;""novinger", missouri," usa"";""16"""
"745;""frankfurt", hessen," germany"";""25"""
"749;""washington", dc," usa"";NULL"
"753;""stockton", california," usa"";NULL"
"757;""philadelphia", pennsylvania," usa"";""29"""
"761;""fuzhou", fujian," china"";""30"""
"765;""york", pennsylvania," usa"";NULL"
"769;""birmingham", alabama," usa"";NULL"
"773;""khartoum", khartoum," sudan"";""52"""
"777;""portland", ,";13"""
"781;""london", england," united kingdom"";""20"""
"785;""burbank", california," usa"";NULL"
"789;""pepperell", ,";15"""
"793;""columbus", ohio," usa"";NULL"
"797;""mystic", connecticut," usa"";NULL"
"801;""mooresville", north carolina," usa"";""51"""
"805;""sonoma", california," usa"";""34"""
"809;""commack", new york," usa"";""36"""
"813;""woodstock", illinois," usa"";""42"""
"817;""austin", texas," usa"";""41"""
"821;""vicenza", veneto," italy"";""33"""
"825;""albuquerque", new mexico," usa"";""38"""
"829;""palo alto", california," usa"";""23"""
"833;""ciudad de plata", plata," argentina"";NULL"
"837;""lexington", kentucky," usa"";""26"""
"841;""saint charles", mo, missouri," usa"";""24"""
"845;""bari", puglia," italy"";""25"""
"849;""seattle", washington," usa"";NULL"
"853;""chesterfield", michigan," usa"";""24"""
"857;""kuala lumpur", n/a," malaysia"";""25"""
"861;""san francisco", california," usa"";NULL"
"865;""castle rock", colorado," usa"";NULL"
"869;""bucharest", bucharest," romania"";""30"""
"873;""bristol", england," united kingdom"";NULL"
"877;""padova", veneto," italy"";NULL"
"881;""saskatoon", saskatchewan," canada"";""24"""
"886;""bozeman", montana," usa"";NULL"
"890;""clarks summit", pennsylvania," usa"";NULL"
"894;""townsville", queensland," australia"";""22"""
"898;""gdañsk", n/a," poland"";NULL"
"902;""overland", missouri," usa"";""18"""
"906;""gillingham  kent", england," united kingdom"";NULL"
"910;""chandler", arizona," usa"";""25"""
"914;""griesheim", hessen," germany"";""51"""
"918;""cartwright", newfoundland and labrador," canada"";""52"""
"922;""salt spring island", british columbia," canada"";""20"""
"926;""lisboa", n/a," portugal"";""29"""
"930;""cos cob", connecticut," usa"";""30"""
"934;""sarasota", florida," usa"";NULL"
"938;""calgary", alberta," canada"";""55"""
"942;""lille", nord," france"";""29"""
"946;""lancaster", lancashire," united kingdom"";""23"""
"950;""cebu", cebu," philippines"";NULL"
"954;""bradfordwoods", pennsylvania," usa"";NULL"
"959;""guadalajara", guadalajara," spain"";NULL"
"963;""victoria", british columbia," canada"";NULL"
"967;""belem", para," brazil"";""31"""
"971;""accra", n/a," ghana"";""22"""
"975;""ann arbor", michigan," usa"";""34"""
"979;""northampton", east midlands," united kingdom"";""36"""
"983;""ashland", oregon," vietnam"";NULL"
"987;""san diego", california," usa"";NULL"
"991;""charlotte", north carolina," usa"";""62"""
"995;""christchurch", canterbury," new zealand"";""34"""
"999;""newark", delaware," usa"";""21"""
"1003;""tequesta", florida," usa"";NULL"
"1007;""schaumburg", illinois," usa"";""16"""
"1011;""vancouver", british columbia," canada"";""52"""
"1015;""dartmouth", nova scotia," canada"";""18"""
"1019;""san diego", california," usa"";NULL"
"1023;""thiensville", wisconsin," usa"";NULL"
"1027;""roma", liguria," italy"";""18"""
"1031;""sparks", maryland," usa"";""52"""
"1035;""sycamore", illinois," usa"";""26"""
"1039;""canton", pennsylvania," usa"";""38"""
"1043;""parma", emilia romagna," italy"";NULL"
"1047;""greensboro", north carolina," usa"";NULL"
"1051;""beijing", beijing," china"";""17"""
"1055;""winterthur", zürich," switzerland"";""30"""
"1059;""snoqualmie", washington," usa"";""47"""
"1063;""edmonton", alberta," canada"";""19"""
"1068;""north bay", ontario," canada"";""18"""
"1072;""nîmes", languedoc-roussillon," france"";""47"""
"1076;""blacksburg", virginia," usa"";""20"""
"1080;""caballo", new mexico," usa"";""35"""
"1084;""mt vernon", illinois," usa"";NULL"
"1088;""raymond", washington," usa"";""17"""
"1092;""dartmouth", nova scotia," canada"";NULL"
"1096;""arvada", colorado," usa"";""18"""
"1100;""saskatoon", saskatchewan," canada"";""24"""
"1104;""kuala lumpur", selangor," malaysia"";""38"""
"1108;""fairbanks", alaska," usa"";NULL"
"1112;""jupiter", florida," usa"";NULL"
"1116;""calgary", alberta," canada"";""29"""
"1120;""yelm", washington," usa"";NULL"
"1124;""brooklyn", new york," usa"";NULL"
"1128;""dallas", texas," usa"";""61"""
"1132;""tigard", oregon," usa"";NULL"
"1136;""santa cruz de tenerife", canarias," spain"";""21"""
"1140;""bridgewater", new jersey," usa"";""19"""
"1144;""barcelona", barcelona," spain"";""21"""
"1148;""prairie village", kansas," usa"";""79"""
"1152;""oswego", illinois," usa"";NULL"
"1156;""pindamonhangaba", sao paulo," brazil"";NULL"
"1160;""peterborough", ontario," canada"";""18"""
"1164;""woburn", massachusetts," usa"";""35"""
"1168;""bergisch gladbach ( bensberg)", nordrhein-westfalen," germany"";""20"""
"1172;""bielefeld", nordrhein-westfalen," germany"";""26"""
"1176;""selma", alabama," usa"";""29"""
"1180;""storrs", connecticut," usa"";""23"""
"1184;""la mirada", california," usa"";""38"""
"1188;""montclair", new jersey," usa"";""29"""
"1192;""klang", selangor," malaysia"";""27"""
"1196;""barcelona", catalunya," spain"";""28"""
"1200;""westfield", new jersey," usa"";NULL"
"1204;""martinez", california," usa"";NULL"
"1208;""danbury", connecticut," usa"";NULL"
"1212;""giessen", hessen," germany"";""24"""
"1216;""west linn", oregon," usa"";""24"""
"1220;""marseille", n/a," france"";NULL"
"1224;""polva", polvamaa," estonia"";NULL"
"1228;""münchen", bayern," germany"";NULL"
"1232;""hilversum", noord holland," netherlands"";""50"""
"1236;""somerville", massachusetts," usa"";""25"""
"1240;""redwood city", california," usa"";""36"""
"1244;""plano", texas," usa"";""55"""
"1248;""dixon", california," usa"";NULL"
"1252;""la", california," usa"";NULL"
"1256;""ottawa", ontario," canada"";NULL"
"1260;""campinas", sao paulo," brazil"";""17"""
"1264;""antelope", california," usa"";NULL"
"1269;""los altos", california," usa"";""42"""
"1273;""valladolid"," \""n/a\"""," spain"";""27"""
"1277;""melbourne", alabama," australia"";NULL"
"1281;""london", england," united kingdom"";""32"""
"1285;""berlin", n/a," germany"";""28"""
"1289;""san jose", california," usa"";""103"""
"1293;""haddon twp", new jersey," usa"";NULL"
"1298;""madison", wisconsin," usa"";""20"""
"1302;""oxford", england," united kingdom"";NULL"
"1306;""lisbon"," \""n/a\""",";41"""
"1310;""milano", lombardia," italy"";NULL"
"1314;""monza", lombardia," italy"";""48"""
"1318;""león", castilla-león,";33"""
"1322;""framingham", massachusetts," usa"";""21"""
"1326;""firenze", toscana," italy"";""37"""
"1330;""swisttal", nordrhein-westfalen," germany"";NULL"
"1334;""birmingham", england," united kingdom"";""32"""
"1338;""aurora", north carolina," usa"";""37"""
"1342;""victoria", british columbia," canada"";NULL"
"1346;""houston", texas," usa"";""25"""
"1350;""red deer", alberta," canada"";NULL"
"1354;""canberra", new south wales," australia"";""39"""
"1358;""vienna", ,";NULL
1359"";""houston", texas," usa"";""14"""
"1363;""industry", pennsylvania," usa"";NULL"
"1367;""manly", new south wales," australia"";""23"""
"1371;""burbank", california," usa"";""36"""
"1375;""dinwiddie", virginia," usa"";""59"""
"1379;""milano", lombardia," italy"";NULL"
"1383;""canberra", australian capital territory," australia"";""32"""
"1387;""new castle", indiana," usa"";""28"""
"1391;""camarillo", california," usa"";NULL"
"1395;""santa monica", california," usa"";NULL"
"1399;""york", maine," usa"";""41"""
"1403;""virginia beach", virginia," usa"";""26"""
"1407;""valencia", valencia," spain"";""28"""
"1411;""nottingham", maryland," usa"";""74"""
"1415;""boston", massachusetts," usa"";""47"""
"1419;""oak park", michigan," usa"";""51"""
"1423;""scarborough", england," united kingdom"";""39"""
"1427;""mililani", hawaii," usa"";""22"""
"1431;""hendersonville", tennessee," usa"";NULL"
"1435;""st. louis", missouri," usa"";""36"""
"1439;""tilley", alberta," canada"";NULL"
"1443;""melbourne", victoria," australia"";""30"""
"1447;""baiona", n/a," spain"";""31"""
"1451;""a coruña", a coruña," spain"";""22"""
"1455;""chehalis", washington," usa"";NULL"
"1459;""braunschweig", niedersachsen," germany"";NULL"
"1463;""noma", california," usa"";NULL"
"1467;""dallas", texas,";NULL
1468"";""rostock", mecklenburg-vorpommern," germany"";""20"""
"1472;""vilshofen", bavaria," germany"";NULL"
"1476;""manchester", england," united kingdom"";""33"""
"1480;""columbia", south carolina," usa"";NULL"
"1484;""eastbourne", england," united kingdom"";""28"""
"1488;""franklin", nebraska," usa"";NULL"
"1492;""silver spring", maryland," usa"";""31"""
"1496;""seattle", washington," usa"";""31"""
"1500;""brighton", england," united kingdom"";NULL"
"1504;""iowa city", iowa," usa"";NULL"
"1508;""hurricane", utah," usa"";NULL"
"1512;""marietta", georgia," usa"";NULL"
"1516;""dublin", n/a," ireland"";""31"""
"1520;""irving", texas," usa"";NULL"
"1524;""brattleboro", vermont," usa"";NULL"
"1528;""bratislava", bratislava," slovakia"";""22"""
"1532;""san antonio", texas," usa"";""34"""
"1536;""buenos aires", buenos aires," argentina"";""30"""
"1540;""duluth", georgia," usa"";NULL"
"1544;""london", england," united kingdom"";""31"""
"1548;""brooklyn", new york," usa"";""28"""
"1552;""donostia", gipuzkoa," basque country"";""32"""
"1556;""tucson", arizona," usa"";NULL"
"1560;""pondicherry", jipofuaop," india"";""22"""
"1564;""provo", utah," usa"";NULL"
"1568;""houston", texas," usa"";""37"""
"1572;""gomer", ohio," usa"";""26"""
"1576;""auburn", maine," usa"";""24"""
"1580;""lauderdalelakes", florida," usa"";""16"""
"1584;""singapore", singapore," singapore"";NULL"
"1588;""lewisham", london," united kingdom"";NULL"
"1592;""halstead", kansas," usa"";""50"""
"1596;""jackson", tennessee," usa"";""51"""
"1600;""ottawa", ontario," canada"";""43"""
"1604;""houston", texas," usa"";""24"""
"1608;""collingswood", new jersey," usa"";""27"""
"1612;""luebbenau", brandenburg," germany"";""24"""
"1616;""marietta", georgia," usa"";NULL"
"1620;""columbus", ohio," usa"";NULL"
"1624;""worcester", massachusetts," usa"";NULL"
"1628;""lagos", lagos," nigeria"";""20"""
"1632;""greensboro", north carolina," usa"";NULL"
"1636;""poing", bayern," germany"";""34"""
"1640;""lagos", lagos," nigeria"";""33"""
"1644;""karachi", kentucky," pakistan"";""22"""
"1648;""mont-saint-aignan", normandie," france"";""67"""
"1652;""new york", new york," usa"";NULL"
"1656;""barcelona", barcelona," spain"";""29"""
"1660;""fort worth", texas," usa"";NULL"
"1664;""chattonoga", georgia," usa"";""14"""
"1668;""21000 split", n/a," croatia"";NULL"
"1672;""north east", pennsylvania," usa"";""18"""
"1676;""ottawa", ontario," canada"";NULL"
"1680;""roma", lazio," italy"";""35"""
"1684;""ucluelet", british columbia," canada"";NULL"
"1688;""chelmsford", england," united kingdom"";""53"""
"1692;""toronto", ontario," canada"";NULL"
"1696;""las palmas gc", las palmas," spain"";""34"""
"1700;""annemasse", alabama," france"";""25"""
"1704;""oshawa", ontario," canada"";""21"""
"1708;""rimforsa", kinda," sweden"";NULL"
"1712;""hillsborough", new jersey," usa"";NULL"
"1716;""jerusalem", n/a," israel"";NULL"
"1720;""bolzano", trentino alto adige," italy"";NULL"
"1725;""palma", illes balears," united kingdom"";""25"""
"1729;""toronto", ontario," canada"";""55"""
"1733;""independence", west virginia," usa"";""30"""
"1737;""albuquerque", new mexico," usa"";""31"""
"1741;""louisville", kentucky," usa"";""17"""
"1745;""cedar rapids", iowa," usa"";NULL"
"1749;""calgary", alberta," canada"";NULL"
"1753;""melbourne", victoria," australia"";NULL"
"1757;""srabaya", n/a," indonesia"";""16"""
"1761;""hartford", wisconsin," usa"";NULL"
"1765;""london", england," united kingdom"";""37"""
"1769;""battipaglia", campania," italy"";NULL"
"1773;""northridge", california," usa"";""16"""
"1777;""bethlehem", pennsylvania," usa"";""19"""
"1781;""leipzig", sachsen," germany"";""32"""
"1785;""toulouse", haute-garonne," france"";""26"""
"1789;""sao paulo", sao paulo," brazil"";""36"""
"1793;""coquitlam", british columbia," canada"";""26"""
"1797;""paris", paris," france"";NULL"
"1801;""virginia beach", virginia," usa"";""52"""
"1805;""euless", texas," usa"";NULL"
"1809;""bucharest", n/a," romania"";""33"""
"1813;""ottawa", ontario," canada"";NULL"
"1817;""kanpur", up," india"";NULL"
"1821;""aarau", ag," switzerland"";NULL"
"1825;""bayonne", new jersey," usa"";""34"""
"1829;""victoria", british columbia," canada"";NULL"
"1833;""brussles", woluwe saint pierre," belgium"";""42"""
"1837;""brant lake", new york," usa"";""44"""
"1841;""washington dc", dc," usa"";NULL"
"1845;""fredericksburg", virginia," usa"";""34"""
"1849;""cartagena", maine," spain"";""27"""
"1853;""mays landing", new jersey," usa"";""57"""
"1857;""hoosick falls", new york," usa"";""39"""
"1861;""houston", texas," usa"";NULL"
"1865;""durham", n/a," united kingdom"";""52"""
"1869;""westfield", massachusetts," usa"";""21"""
"1873;""berlin", berlin," germany"";NULL"
"1877;""chicago", illinois," usa"";""47"""
"1881;""binghamton", new york," usa"";""31"""
"1885;""houston", texas," usa"";""27"""
"1889;""norfolk", virginia," usa"";""46"""
"1893;""sant cugat del vallès", catalunya," spain"";""31"""
"1897;""houston", texas," usa"";""58"""
"1901;""vancouver", british columbia," canada"";NULL"
"1905;""baton rouge", louisiana," usa"";NULL"
"1909;""burlington", north carolina," usa"";NULL"
"1913;""aurora", ontario," canada"";NULL"
"1917;""singapore", singapore," singapore"";""33"""
"1921;""lisboa", abruzzo," portugal"";NULL"
"1926;""lakeview", ohio," usa"";""31"""
"1930;""palencia", n/a," spain"";""22"""
"1934;""kuopio", n/a," finland"";""18"""
"1938;""new york", new york," usa"";NULL"
"1942;""las vegas", nevada," usa"";NULL"
"1946;""columbia", missouri," usa"";""23"""
"1950;""inverness", scotland," united kingdom"";""29"""
"1954;""brighton", england," united kingdom"";""36"""
"1958;""melrose park", illinois," usa"";""23"""
"1962;""stockholm", stockholm," sweden"";NULL"
"1966;""burgos", burgos," spain"";NULL"
"1970;""montebelluna", italy," italy"";""47"""
"1974;""rome", lazio," italy"";""42"""
"1978;""saint louis", missouri," usa"";NULL"
"1982;""nürnberg", bayern," germany"";NULL"
"1986;""leatherhead", england," united kingdom"";""19"""
"1990;""niterói", rio de janeiro," brazil"";""32"""
"1994;""piqua", ohio," usa"";NULL"
"1998;""tel-aviv"," \""n/a\"")"," israel"";NULL"
"2002;""letchworth", england," united kingdom"";NULL"
"2006;""nürnberg", bayern," germany"";NULL"
"2010;""colfax", illinois," usa"";NULL"
"2014;""teodoro sampaio", sao paulo," brazil"";""36"""
"2018;""edson", alberta," canada"";""21"""
"2022;""wellington", n/a," new zealand"";""50"""
"2026;""merritt island", florida," usa"";""46"""
"2030;""seabeck", washington," usa"";""31"""
"2034;""houston", texas," usa"";""35"""
"2038;""bloomington", indiana," usa"";NULL"
"2042;""campeche", n/a," mexico"";""31"""
"2047;""puyallup", washington," usa"";""21"""
"2051;""sestri levante", liguria," italy"";NULL"
"2055;""bennet", nebraska," usa"";NULL"
"2059;""auburn", alabama," usa"";NULL"
"2063;""raleigh", north carolina," usa"";NULL"
"2067;""adwa", tigray," ethiopia"";NULL"
"2071;""madrid", españa," spain"";""27"""
"2075;""bonn", nordrhein-westfalen," germany"";""29"""
"2079;""grange over sands", cumbria," united kingdom"";""40"""
"2083;""tuebingen", baden-wuerttemberg," germany"";NULL"
"2087;""austin", texas," usa"";NULL"
"2091;""washington", dc," usa"";""27"""
"2095;""decatur", georgia," usa"";""24"""
"2099;""tucson", arizona," usa"";NULL"
"2103;""minneapolis", minnesota," usa"";""43"""
"2107;""meadville", pennsylvania," usa"";""42"""
"2111;""the forks", maine," usa"";NULL"
"2115;""escondido", california," usa"";""55"""
"2119;""hartford", connecticut," usa"";NULL"
"2123;""hamburg", hamburg," germany"";""40"""
"2127;""high point", north carolina," usa"";NULL"
"2131;""jacksonville", florida," usa"";""25"""
"2135;""irvine", california," usa"";NULL"
"2139;""chesapeake", virginia," usa"";""33"""
"2143;""champaign", illinois," usa"";""22"""
"2147;""las vegas", nevada," usa"";""35"""
"2151;""oakland", california," usa"";NULL"
"2155;""madrid", madrid," spain"";""18"""
"2159;""lancaster", pennsylvania," usa"";NULL"
"2163;""kerns", obwalden," switzerland"";NULL"
"2167;""woodville", ohio," usa"";""48"""
"2171;""culiacán", sinaloa," mexico"";""27"""
"2175;""lagos", louisiana," netherlands"";NULL"
"2179;""sunderland", massachusetts," usa"";""30"""
"2183;""burnaby", british columbia," canada"";NULL"
"2187;""austin", texas," usa"";NULL"
"2191;""sacramento", california," usa"";""39"""
"2196;""orimattila", päijät-häme," finland"";""22"""
"2200;""shawnee", oklahoma," usa"";""34"""
"2204;""el cajon", california," usa"";NULL"
"2208;""avilés", asturias," spain"";""18"""
"2212;""mainz", rheinland-pfalz," germany"";""22"""
"2216;""münster", nordrhein-westfalen," germany"";NULL"
"2220;""santander", cantabria," spain"";""27"""
"2224;""paris", ile de france," france"";""23"""
"2228;""palmerston north", manawatu," new zealand"";""26"""
"2232;""50678 köln", nordrhein-westfalen," germany"";NULL"
"2236;""birmingham", west midlands," united kingdom"";NULL"
"2240;""ottawa", ontario," canada"";NULL"
"2244;""embro", ontario," canada"";NULL"
"2248;""ulm", baden-wuerttemberg," germany"";""19"""
"2252;""angeles city", pampanga," philippines"";""47"""
"2256;""preston", lancashire," united kingdom"";""59"""
"2260;""st. petersburg", florida," usa"";NULL"
"2264;""longwood", florida," usa"";""33"""
"2268;""coruña", galicia," spain"";""22"""
"2272;""ottawa", ontario," canada"";""24"""
"2276;""niskayuna", new york," usa"";""46"""
"2281;""vancouver", washington," usa"";""30"""
"2285;""gloucestershire", england," united kingdom"";NULL"
"2289;""malibu", california," usa"";NULL"
"2293;""newcastle", california," usa"";NULL"
"2297;""chicago", illinois," usa"";""28"""
"2301;""eugene", oregon," usa"";""24"""
"2305;""holmrook", cumbria," united kingdom"";""71"""
"2309;""elizabethton", tennessee," usa"";""18"""
"2313;""cincinnati", ohio," usa"";""23"""
"2317;""paris", ile-de-france," france"";""62"""
"2321;""halifax", nova scotia," canada"";""35"""
"2325;""borgholm", öland," sweden"";""23"""
"2329;""kuala lumpur", n/a," malaysia"";""13"""
"2333;""ocean city", maryland," usa"";NULL"
"2337;""grove city", ohio," usa"";""34"""
"2341;""toronto", ontario," canada"";NULL"
"2345;""london", england," united kingdom"";""55"""
"2349;""günzburg", bayern," germany"";NULL"
"2353;""glasgow", scotland," united kingdom"";NULL"
"2357;""philadelphia", pennsylvania," usa"";""35"""
"2361;""adelaide", south australia," australia"";""13"""
"2365;""dorchester", england," united kingdom"";NULL"
"2369;""kingston", ontario," canada"";""45"""
"2373;""petting", bayern," germany"";""16"""
"2377;""henderson", nevada," usa"";""32"""
"2381;""cave junction", oregon," usa"";NULL"
"2385;""london", ontario," canada"";NULL"
"2389;""düsseldorf", nordrhein-westfalen," germany"";NULL"
"2393;""sitka", alaska," usa"";NULL"
"2397;""cataumet", massachusetts," usa"";NULL"
"2401;""manchester", england," united kingdom"";""25"""
"2405;""bournemouth", england," united kingdom"";""29"""
"2409;""glastonbury", connecticut," usa"";""57"""
"2413;""austin", texas," usa"";""25"""
"2417;""lakeland", florida," usa"";""35"""
"2421;""durban", kwazulu-natal," south africa"";NULL"
"2425;""vancouver", british columbia," canada"";""54"""
"2429;""kingston", ontario," canada"";NULL"
"2433;""düsseldorf", nrw," germany"";NULL"
"2437;""san antonio", texas," usa"";""45"""
"2441;""manchester", england," united kingdom"";""18"""
